회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
대유에이텍,002880,자동차 신품 부품 제조업,"자동차부품(자동차용 시트, 알루미늄 휠)제조",2/18/1977,12월,"권의경,라현근 ( 각자 대표이사 )",http://www.dayou.co.kr,광주광역시
대창,012800,1차 비철금속 제조업,"황동봉,동합금괴 제조,판매",12/5/1989,12월,"조시영, 김옥렬",http://www.brassone.com,경기도
대창단조,015230,자동차 신품 부품 제조업,"자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조",7/25/1989,12월,박권일,http://www.dcf.co.kr,경상남도
동부,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1/6/1993,12월,"곽제동, 강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
동부하이텍,000990,반도체 제조업,반도체 제조,12/12/1975,12월,최창식,http://www.dongbuhitek.co.kr,서울특별시
동북아13호선박투자,083380,운송장비 임대업,운수장비 임대,8/29/2005,12월,조용식,,부산광역시
동아타이어공업,007340,고무제품 제조업,"자동차타이어,튜브,재생타이이어,후랩,자동차용 밧데리,자동차방진부품 제조",9/24/1988,12월,김상헌,http://www.dongahtire.co.kr,경상남도
동양고속,084670,육상 여객 운송업,고속버스 운송/부동산 임대,7/25/2005,12월,백남근,http://www.dyexpress.co.kr,경기도
두산인프라코어,042670,특수 목적용 기계 제조업,"굴삭기,엔진 제조,도소매",2/2/2001,12월,"손동연,최형희",http://www.doosaninfracore.com,인천광역시
디아이씨,092200,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",10/18/2007,12월,"김성문, 김정렬 (각자 대표이사)",http://dicorp.co.kr,울산광역시
디와이,013570,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조",5/30/1989,12월,"조병호, 김용진 (각기 대표이사)",http://www.dy.co.kr,인천광역시
메디플란트,015540,기타 사업지원 서비스업,상품권유통,9/2/1989,12월,"조재진, 문정호(각자대표)",http://www.medi-plant.co.kr,서울특별시
문배철강,008420,1차 철강 제조업,"철강재중 판재류(후판,박판,무늬강판) 제조,도매",11/5/1994,12월,배종민,http://www.moonbaesteel.co.kr,서울특별시
미래에셋생명,085620,보험업,생명보험상품,7/8/2015,12월,김재식,http://life.miraeasset.com,서울특별시
미원화학,134380,기타 화학제품 제조업,"계면활성제, 황산및분황",2/15/2011,12월,정규식,http://www.miwonchemicals.com,울산광역시
방림,003610,직물직조 및 직물제품 제조업,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매",5/30/1989,09월,서재희 대표집행임원,http://www.pangrim.com,서울특별시
보해양조,000890,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",9/23/1988,12월,"채원영, 임지선",http://www.bohae.co.kr,전라남도
빙그레,005180,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",8/31/1978,12월,박영준,http://www.bing.co.kr,경기도
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",11/14/2014,12월,정유성,http://www.sds.samsung.co.kr,서울특별시
삼성제약,001360,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",7/4/1975,12월,"김상재, 김기호 각자대표",http://www.sspharm.co.kr,경기도
삼영무역,002810,기타 전문 도매업,"화공약품, 안경렌즈",3/28/1988,12월,이승용,http://www.samyung.co.kr,서울특별시
삼익악기,002450,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",9/30/1988,12월,"김종섭, 이형국",http://www.samick.co.kr,충청북도
서울도시가스,017390,연료용 가스 제조 및 배관공급업,"도시가스공급,가스공급설비공사",8/18/1995,12월,공동대표이사 박근원 공동대표이사 김진철,http://www.seoulgas.co.kr,서울특별시
선창산업,002820,나무제품 제조업,"합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대",5/22/1976,12월,김영환,http://www.sunwood.co.kr,인천광역시
성신양회,004980,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",6/30/1976,12월,"김영준, 김영찬, 김상규",http://www.sungshincement.co.kr,서울특별시
세아제강,003030,1차 철강 제조업,"일반배관용강관,수도배관용강관,구조용강관,SPIRAL강관,유정용강관 제조",5/13/1969,12월,"이순형, 이휘령, 권병기",http://www.seahsteel.co.kr,서울특별시
세진중공업,075580,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",11/30/2015,12월,가백현,http://www.sejinheavy.com,울산광역시
신세계푸드,031440,음식점업,"단체급식, 식자재유통, 외식",4/29/2010,12월,최성재,http://www.shinsegaefood.com,서울특별시
신송홀딩스,006880,기타 금융업,사업경영 및 관리자문,11/21/2013,12월,조갑주,http://www.singsongholdings.com,서울특별시
신영와코루,005800,봉제의복 제조업,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조",12/28/1976,12월,"이의평, 이호성",http://www.shinyoungwacoal.co.kr/,서울특별시
아시아나항공,020560,항공 여객 운송업,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",3/28/2008,12월,"박삼구, 김수천 (각자 대표이사)",http://www.flyasiana.com,서울특별시
아주캐피탈,033660,기타 금융업,"투자회사,할부금융,리스/자동차정비,자동차리스",6/25/2009,12월,박춘원,http://www.ajucapital.co.kr,대전광역시
알루코,001780,1차 비철금속 제조업,"알루미늄제품,샷시 제조",6/7/2007,12월,"김택동, 박석봉(각자 대표이사)",http://www.dygc.co.kr,대전광역시
에이엔피,015260,전자부품 제조업,"전자부품(인쇄회로기판),무정전 전원공급장치 제조",1/18/1988,12월,전운관,http://anpcb.co.kr,경기도
엔씨소프트,036570,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",5/22/2003,12월,김택진,http://www.ncsoft.net,서울특별시
우신시스템,017370,특수 목적용 기계 제조업,"자동차차체자동화용접조립라인,용접설비,자동용접장비 제조,판매",5/28/2002,12월,허우영,http://www.wooshinsys.co.kr,서울특별시
웅진,016880,기타 금융업,"교육서비스(웅진아이큐,중.고교학습,어린이마을),도서,잡지 출판/부동산 임대/인터넷관련사업",11/5/1994,12월,이재진,http://www.woongjin.com,서울특별시
유안타증권,003470,금융 지원 서비스업,"유가증권 매매,중개,대리,인수",1/21/1988,12월,"서명석, 황웨이청",http://www.yuantakorea.com,서울특별시
이건산업,008250,나무제품 제조업,"컨테이너용합판,목재 파렛트,프레스우드 파렛트,가공목재,제재목 제조/부동산 임대",10/21/1988,12월,박승준,http://www.eagon.com,인천광역시
이구산업,025820,1차 비철금속 제조업,"동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대",8/18/1995,12월,"손인국, 김영길 (각자 대표이사)",http://www.leeku.net,경기도
이수화학,005950,기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",4/28/1988,12월,류승호,http://www.isuchemical.co.kr,서울특별시
이스타코,015020,부동산 임대 및 공급업,부동산 분양/입시학원 운영,12/23/1988,12월,김승제,http://www.e-starco.co.kr,서울특별시
이월드,084680,유원지 및 기타 오락관련 서비스업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",7/26/2005,12월,유병천,http://www.eworld.kr,대구광역시
인스코비,006490,전기 통신업,"시계,스마트그리드,도소매,소프트웨어개발",1/17/1985,12월,유인수,http://www.inscobee.com,서울특별시
일진홀딩스,015860,기타 금융업,"전기산업용기기(개폐기,차단기,배전반),자동화시스템,자동차엔진부품,절연전선,금구류,고압선,저압선 제조,판매/전기공사,가스절연차단기",3/22/1990,12월,허정석,http://www.iljin.co.kr,경기도
제일약품,271980,의약품 제조업,의약품,7/17/2017,12월,성석제,http://www.jeilpharm.co.kr,서울특별시
조선내화,000480,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",6/30/1978,12월,김해봉,http://www.chosunref.co.kr,전라남도
조일알미늄,018470,1차 비철금속 제조업,"알루미늄판 제조,도매",11/22/1988,12월,이영호,http://www.choilal.co.kr,경상북도
종근당,185750,의약품 제조업,"딜라트렌,리피로우",12/6/2013,12월,김영주,http://www.ckdpharm.com,서울특별시
종근당바이오,063160,의약품 제조업,"의약품,원료의약품 제조",12/11/2001,12월,이정진,http://www.ckdbio.com,서울특별시
케이씨씨,002380,기타 화학제품 제조업,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",6/25/1973,12월,"정몽진, 정몽익",http://www.kccworld.co.kr,서울특별시
케이티스,058860,기타 정보 서비스업,"114전화번호안내, 고객센터",12/17/2010,12월,박형출,http://www.ktis.co.kr,서울특별시
코오롱머티리얼,144620,화학섬유 제조업,"합성섬유 제조/직물 도매,무역",4/5/2012,12월,대표이사 사장 최석순,http://www.kolonfm.com,경기도
코웨이,021240,그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",8/7/2001,12월,Lee Haesun,http://www.coway.co.kr,충청남도
크라운제과,264900,기타 식품 제조업,"비스킷, 스낵, 당과",4/11/2017,12월,장완수,http://www.crown.co.kr,서울특별시
평화홀딩스,010770,기타 금융업,지주회사,3/31/1986,12월,"김종석, 김동관",http://www.phhc.co.kr,대구광역시
